nodo_id_1,nodo_name_1,nodo_type_1,nodo_id_2,nodo_name_2,nodo_type_2,distanza
*/2834  [3031],SV PORTO CIVITAVECCHIA,CASELLO,*/2833  [3030],SV..BORGATA AURELIA (Civitavecchia Porto per/da P.Civitavecchia),CASELLO,3.9
*/2833  [3030],SV..BORGATA AURELIA (Civitavecchia Porto per/da P.Civitavecchia),CASELLO,*/1905  [2757],ALL.A12/SS 698 PORTO CIVITAVECCHIA,ALLACCIAMENTO,4.2
*/1342  [2034],Inizio A1 Milano-Napoli,ALLACCIAMENTO,*/1343  [2035],Bivio A1/Raccordo Tang. est MI,ALLACCIAMENTO,1.2
*/1343  [2035],Bivio A1/Raccordo Tang. est MI,ALLACCIAMENTO,*/1077  [1073],San Giuliano,CASELLO,1.5
*/1077  [1073],San Giuliano,CASELLO,*/1139  [260],Bivio A1/Tangenziale ovest MI,ALLACCIAMENTO,1.6
*/1139  [260],Bivio A1/Tangenziale ovest MI,ALLACCIAMENTO,35/37  [1118],Melegnano,CASELLO,3.4
35/37  [1118],Melegnano,CASELLO,*/1080  [262],Binasco,CASELLO,0.4
*/1080  [262],Binasco,CASELLO,*/1082  [261],Melegnano Svincolo,CASELLO,0.5
*/1082  [261],Melegnano Svincolo,CASELLO,1/1  [146],Milano sud,CASELLO,0.3
1/1  [146],Milano sud,CASELLO,1/5043  [70121],BIVIO A1/A58,ALLACCIAMENTO,1.75
1/5043  [70121],BIVIO A1/A58,ALLACCIAMENTO,10127,S.ZENONE OVEST,DISTRIBUTORE,4.45
10127,S.ZENONE OVEST,DISTRIBUTORE,1/2  [2494],Lodi,CASELLO,7.2
1/2  [2494],Lodi,CASELLO,1/3  [2495],Casalpusterlengo,CASELLO,15.5
1/3  [2495],Casalpusterlengo,CASELLO,10126,SOMAGLIA OVEST,DISTRIBUTORE,5.7
10126,SOMAGLIA OVEST,DISTRIBUTORE,1/4  [266],Basso Lodigiano,CASELLO,6.2
1/4  [266],Basso Lodigiano,CASELLO,1/1445  [2498],Bivio A1/Inizio Complanare Piacenza,ALLACCIAMENTO,6.1
1/1445  [2498],Bivio A1/Inizio Complanare Piacenza,ALLACCIAMENTO,1/1444  [2499],Bivio A1/Fine Complanare Piacenza,ALLACCIAMENTO,2.5
1/1444  [2499],Bivio A1/Fine Complanare Piacenza,ALLACCIAMENTO,10125,ARDA OVEST,DISTRIBUTORE,15.0
10125,ARDA OVEST,DISTRIBUTORE,1/1442  [1855],Bivio A1/Diramazione Fiorenzuola,ALLACCIAMENTO,0.6
1/1442  [1855],Bivio A1/Diramazione Fiorenzuola,ALLACCIAMENTO,1/6  [360],Fiorenzuola,CASELLO,0.1
1/6  [360],Fiorenzuola,CASELLO,1/7  [272],Fidenza,CASELLO,16.4
1/7  [272],Fidenza,CASELLO,1/5058  [72073],Bivio A1/A15 Parma-La Spezia,ALLACCIAMENTO,11.29
1/5058  [72073],Bivio A1/A15 Parma-La Spezia,ALLACCIAMENTO,1/8  [274],Parma,CASELLO,8.71
1/8  [274],Parma,CASELLO,10129,S.MARTINO OVEST,DISTRIBUTORE,3.7
10129,S.MARTINO OVEST,DISTRIBUTORE,1/5000  [417],Cambio Competenza A1 T02 - T03,CASELLO,5.4
1/5000  [417],Cambio Competenza A1 T02 - T03,CASELLO,1/91  [2564],Terre di Canossa - Campegine,CASELLO,4.9
1/91  [2564],Terre di Canossa - Campegine,CASELLO,1/9  [2457],Reggio Emilia,CASELLO,12.7
1/9  [2457],Reggio Emilia,CASELLO,1/954  [81],Bivio A1/A22 Brennero-Modena,ALLACCIAMENTO,18.2
1/954  [81],Bivio A1/A22 Brennero-Modena,ALLACCIAMENTO,10128,SECCHIA OVEST,DISTRIBUTORE,1.2
10128,SECCHIA OVEST,DISTRIBUTORE,1/10  [330],Modena nord,CASELLO,1.1
1/10  [330],Modena nord,CASELLO,1/11  [332],Modena sud,CASELLO,13.2
1/11  [332],Modena sud,CASELLO,1/96  [70201],Valsamoggia,CASELLO,13.99
1/96  [70201],Valsamoggia,CASELLO,1/981  [292],Bivio A1/A14 Bologna-Taranto,ALLACCIAMENTO,4.01
1/981  [292],Bivio A1/A14 Bologna-Taranto,ALLACCIAMENTO,1/984  [303],Bivio A1/Racc. A14 BO Casalecchio,ALLACCIAMENTO,6.5
1/984  [303],Bivio A1/Racc. A14 BO Casalecchio,ALLACCIAMENTO,10130,CANTAGALLO OVEST,DISTRIBUTORE,3.6
10130,CANTAGALLO OVEST,DISTRIBUTORE,1/70  [70208],Sasso Marconi Nord,CASELLO,0.99
1/70  [70208],Sasso Marconi Nord,CASELLO,1/14  [2459],Sasso Marconi,ALLACCIAMENTO,9.91
1/14  [2459],Sasso Marconi,ALLACCIAMENTO,1/5001  [373],Cambio Competenza A1 T03 - T04,CASELLO,0.3
1/5001  [373],Cambio Competenza A1 T03 - T04,CASELLO,1/5044  [70132],BIVIO A1-VARIANTE,ALLACCIAMENTO,10.3
1/5044  [70132],BIVIO A1-VARIANTE,ALLACCIAMENTO,1/15  [374],Rioveggio,CASELLO,2.3
1/15  [374],Rioveggio,CASELLO,1/16  [375],Pian Del Voglio,CASELLO,14.5
1/16  [375],Pian Del Voglio,CASELLO,1/17  [376],Roncobilaccio,CASELLO,5.1
1/17  [376],Roncobilaccio,CASELLO,10510,RONCOBILACCIO OVEST,DISTRIBUTORE,0.3
10510,RONCOBILACCIO OVEST,DISTRIBUTORE,1/5045  [70133],Aglio km 255,ALLACCIAMENTO,12.07
1/5045  [70133],Aglio km 255,ALLACCIAMENTO,1/18  [2489],Barberino di Mugello,CASELLO,6.83
1/18  [2489],Barberino di Mugello,CASELLO,1/5046  [70134],BIVIO A1-VARIANTE,ALLACCIAMENTO,0.7
1/5046  [70134],BIVIO A1-VARIANTE,ALLACCIAMENTO,1/19  [380],Calenzano,CASELLO,15.9
1/19  [380],Calenzano,CASELLO,1/1014  [2732],Bivio A1/Compl. FI nord km 279.3,ALLACCIAMENTO,1.24
1/1014  [2732],Bivio A1/Compl. FI nord km 279.3,ALLACCIAMENTO,10132,BISENZIO OVEST,DISTRIBUTORE,0.46
10132,BISENZIO OVEST,DISTRIBUTORE,1/20  [382],Firenze nord,ALLACCIAMENTO,0.1
1/20  [382],Firenze nord,ALLACCIAMENTO,1/1015  [2733],Bivio A1/Compl. FI nord km 280.3,ALLACCIAMENTO,0.38
1/1015  [2733],Bivio A1/Compl. FI nord km 280.3,ALLACCIAMENTO,1/1000  [405],Bivio A1/A11 Firenze-Pisa nord,ALLACCIAMENTO,0.12
1/1000  [405],Bivio A1/A11 Firenze-Pisa nord,ALLACCIAMENTO,1/21  [2445],Firenze Scandicci,ALLACCIAMENTO,6.5
1/21  [2445],Firenze Scandicci,ALLACCIAMENTO,1/97  [70203],VILLA COSTANZA,CASELLO,2.8
1/97  [70203],VILLA COSTANZA,CASELLO,1/22  [384],Firenze Impruneta,CASELLO,5.8
1/22  [384],Firenze Impruneta,CASELLO,1/23  [385],Firenze sud,CASELLO,5.4
1/23  [385],Firenze sud,CASELLO,10139,CHIANTI OVEST,DISTRIBUTORE,4.7
10139,CHIANTI OVEST,DISTRIBUTORE,1/24  [387],Incisa - Reggello,CASELLO,14.3
1/24  [387],Incisa - Reggello,CASELLO,10138,ARNO OVEST,DISTRIBUTORE,1.6
10138,ARNO OVEST,DISTRIBUTORE,1/25  [389],Valdarno,CASELLO,14.3
1/25  [389],Valdarno,CASELLO,1/26  [390],Arezzo,CASELLO,22.7
1/26  [390],Arezzo,CASELLO,10137,BADIA AL PINO OVEST,DISTRIBUTORE,3.8
10137,BADIA AL PINO OVEST,DISTRIBUTORE,1/27  [411],Monte San Savino,CASELLO,9.3
1/27  [411],Monte San Savino,CASELLO,10136,LUCIGNANO OVEST,DISTRIBUTORE,9.1
10136,LUCIGNANO OVEST,DISTRIBUTORE,1/28  [413],Valdichiana,CASELLO,4.7
1/28  [413],Valdichiana,CASELLO,10133,MONTEPULCIANO OVEST,DISTRIBUTORE,9.6
10133,MONTEPULCIANO OVEST,DISTRIBUTORE,1/29  [415],Chiusi,CASELLO,14.9
1/29  [415],Chiusi,CASELLO,1/5002  [461],Cambio Competenza A1 T04 - T05,CASELLO,7.7
1/5002  [461],Cambio Competenza A1 T04 - T05,CASELLO,10134,FABRO OVEST,DISTRIBUTORE,10.2
10134,FABRO OVEST,DISTRIBUTORE,1/30  [425],Fabro,CASELLO,0.0
1/30  [425],Fabro,CASELLO,1/31  [424],Orvieto,CASELLO,23.6
1/31  [424],Orvieto,CASELLO,10142,TEVERE OVEST,DISTRIBUTORE,13.3
10142,TEVERE OVEST,DISTRIBUTORE,1/32  [422],Attigliano,CASELLO,14.8
1/32  [422],Attigliano,CASELLO,10141,GIOVE OVEST,DISTRIBUTORE,1.6
10141,GIOVE OVEST,DISTRIBUTORE,1/33  [420],Orte,CASELLO,10.2
1/33  [420],Orte,CASELLO,1/34  [419],Magliano Sabina,CASELLO,9.6
1/34  [419],Magliano Sabina,CASELLO,10135,FLAMINIA OVEST,DISTRIBUTORE,8.2
10135,FLAMINIA OVEST,DISTRIBUTORE,1/90  [2114],Ponzano Romano,CASELLO,6.9
1/90  [2114],Ponzano Romano,CASELLO,1/970  [167],Bivio A1/Diramazione Roma nord,ALLACCIAMENTO,15.0
1/970  [167],Bivio A1/Diramazione Roma nord,ALLACCIAMENTO,10140,MASCHERONE OVEST,DISTRIBUTORE,4.6
10140,MASCHERONE OVEST,DISTRIBUTORE,1/93  [2748],Guidonia Montecelio,CASELLO,19.87
1/93  [2748],Guidonia Montecelio,CASELLO,1/971  [71033],Bivio A1/A24,ALLACCIAMENTO,6.23
1/971  [71033],Bivio A1/A24,ALLACCIAMENTO,10145,PRENESTINA OVEST,DISTRIBUTORE,4.4
10145,PRENESTINA OVEST,DISTRIBUTORE,1/972  [169],Bivio A1/Diramazione Roma sud,ALLACCIAMENTO,10.2
1/972  [169],Bivio A1/Diramazione Roma sud,ALLACCIAMENTO,1/705  [459],Valmontone,CASELLO,10.6
1/705  [459],Valmontone,CASELLO,1/706  [460],Colleferro,CASELLO,6.0
1/706  [460],Colleferro,CASELLO,1/707  [462],Anagni,CASELLO,11.0
1/707  [462],Anagni,CASELLO,10147,LA MACCHIA OVEST,DISTRIBUTORE,7.0
10147,LA MACCHIA OVEST,DISTRIBUTORE,1/786  [2668],Ferentino,CASELLO,7.3
1/786  [2668],Ferentino,CASELLO,1/708  [440],Frosinone,CASELLO,6.0
1/708  [440],Frosinone,CASELLO,1/5003  [717],Cambio Competenza A1 T05 - T06,CASELLO,9.1
1/5003  [717],Cambio Competenza A1 T05 - T06,CASELLO,1/709  [2560],Ceprano,CASELLO,8.7
1/709  [2560],Ceprano,CASELLO,1/710  [719],Pontecorvo,CASELLO,16.9
1/710  [719],Pontecorvo,CASELLO,10146,CASILINA OVEST,DISTRIBUTORE,0.6
10146,CASILINA OVEST,DISTRIBUTORE,1/711  [721],Cassino,CASELLO,10.4
1/711  [721],Cassino,CASELLO,1/712  [769],San Vittore,CASELLO,9.1
1/712  [769],San Vittore,CASELLO,1/713  [770],Caianello,CASELLO,22.1
1/713  [770],Caianello,CASELLO,10143,TEANO OVEST,DISTRIBUTORE,7.3
10143,TEANO OVEST,DISTRIBUTORE,1/714  [772],Capua,CASELLO,11.7
1/714  [772],Capua,CASELLO,1/776  [2597],Santa Maria Capua Vetere,CASELLO,9.0
1/776  [2597],Santa Maria Capua Vetere,CASELLO,1/715  [681],Caserta nord,CASELLO,4.8
1/715  [681],Caserta nord,CASELLO,10144,S.NICOLA OVEST,DISTRIBUTORE,3.3
10144,S.NICOLA OVEST,DISTRIBUTORE,1/995  [707],Bivio A1/A30 Caserta-Salerno,ALLACCIAMENTO,1.3
1/995  [707],Bivio A1/A30 Caserta-Salerno,ALLACCIAMENTO,1/965  [1124],Bivio A1/Raccordo Caserta sud,ALLACCIAMENTO,1.1
1/965  [1124],Bivio A1/Raccordo Caserta sud,ALLACCIAMENTO,1/779  [271],Napoli nord,CASELLO,0.1
1/779  [271],Napoli nord,CASELLO,35/716  [683],Caserta sud,CASELLO,1.1
35/716  [683],Caserta sud,CASELLO,*/1297  [1002],Nodo A1/Villa Literno-Pomigliano,ALLACCIAMENTO,5.2
*/1297  [1002],Nodo A1/Villa Literno-Pomigliano,ALLACCIAMENTO,*/1116  [1003],Nodo A1/Acerra-Afragola,ALLACCIAMENTO,3.32
*/1116  [1003],Nodo A1/Acerra-Afragola,ALLACCIAMENTO,*/1157  [722],Bivio A1/A16 Napoli-Canosa,ALLACCIAMENTO,3.78
*/1157  [722],Bivio A1/A16 Napoli-Canosa,ALLACCIAMENTO,*/1083  [684],Nodo A1/SP1 Casoria,ALLACCIAMENTO,1.2
*/1083  [684],Nodo A1/SP1 Casoria,ALLACCIAMENTO,*/1249  [1801],Bivio A1 nord/Diramaz. Capodichino,CASELLO,0.4
*/1249  [1801],Bivio A1 nord/Diramaz. Capodichino,CASELLO,*/1250  [1802],Biv. A1 nord/Dir.Capodichino Ramo A,ALLACCIAMENTO,0.1
*/1250  [1802],Biv. A1 nord/Dir.Capodichino Ramo A,ALLACCIAMENTO,*/5026  [2753],Biv. Dir.Capodichino/A1 nord Ramo B,ALLACCIAMENTO,0.1
*/5026  [2753],Biv. Dir.Capodichino/A1 nord Ramo B,ALLACCIAMENTO,*/5025  [2752],Biv. Dir.Capodichino/A1 nord Ramo C,ALLACCIAMENTO,1.0
*/5025  [2752],Biv. Dir.Capodichino/A1 nord Ramo C,ALLACCIAMENTO,*/5027  [2754],Biv. A1 nord/Dir.Capodichino Ramo D,ALLACCIAMENTO,0.25
*/5027  [2754],Biv. A1 nord/Dir.Capodichino Ramo D,ALLACCIAMENTO,*/1355  [2050],Nodo Napoli Centro Direzionale,ALLACCIAMENTO,1.77
*/1355  [2050],Nodo Napoli Centro Direzionale,ALLACCIAMENTO,*/1142  [70260],Bivio A1/A3 Napoli-Salerno,ALLACCIAMENTO,1.88
*/1401  [70262],SALERNO,ALLACCIAMENTO,*/1260  [2008],BIVIO A3/RACCORDO SA-AV (Salerno per/da Reggio Calabria),ALLACCIAMENTO,3.0
*/1260  [2008],BIVIO A3/RACCORDO SA-AV (Salerno per/da Reggio Calabria),ALLACCIAMENTO,*/1499  [2227],PONTECAGNANO,CASELLO,10.0
*/1499  [2227],PONTECAGNANO,CASELLO,*/1500  [2228],BATTIPAGLIA,CASELLO,10.0
*/1500  [2228],BATTIPAGLIA,CASELLO,*/1501  [2229],EBOLI,CASELLO,7.0
*/1501  [2229],EBOLI,CASELLO,*/1502  [2230],CAMPAGNA,CASELLO,6.1
*/1502  [2230],CAMPAGNA,CASELLO,*/1503  [2231],CONTURSI TERME,CASELLO,9.9
*/1503  [2231],CONTURSI TERME,CASELLO,*/1504  [2232],SICIGNANO A.-POTENZA,CASELLO,8.0
*/1504  [2232],SICIGNANO A.-POTENZA,CASELLO,*/1505  [2233],PETINA,CASELLO,11.0
*/1505  [2233],PETINA,CASELLO,*/1506  [2234],POLLA,CASELLO,11.0
*/1506  [2234],POLLA,CASELLO,*/1507  [2235],ATENA LUCANA,CASELLO,7.0
*/1507  [2235],ATENA LUCANA,CASELLO,*/1508  [2236],SALA CONSILINA,CASELLO,5.0
*/1508  [2236],SALA CONSILINA,CASELLO,*/1509  [2237],PADULA,CASELLO,16.0
*/1509  [2237],PADULA,CASELLO,*/1510  [2238],LAGONEGRO NORD,CASELLO,20.0
*/1510  [2238],LAGONEGRO NORD,CASELLO,*/1511  [2239],LAGONEGRO SUD,CASELLO,2.0
*/1511  [2239],LAGONEGRO SUD,CASELLO,*/1512  [2240],LAURIA NORD,CASELLO,12.0
*/1512  [2240],LAURIA NORD,CASELLO,*/1513  [2241],LAURIA SUD,CASELLO,7.0
*/1513  [2241],LAURIA SUD,CASELLO,*/1514  [2242],LAINO BORGO,CASELLO,8.0
*/1514  [2242],LAINO BORGO,CASELLO,*/1515  [2243],MORMANNO,CASELLO,11.0
*/1515  [2243],MORMANNO,CASELLO,*/1516  [2244],CAMPOTENESE,CASELLO,10.0
*/1516  [2244],CAMPOTENESE,CASELLO,*/1517  [2245],MORANO CALABRO,CASELLO,11.0
*/1517  [2245],MORANO CALABRO,CASELLO,*/1518  [2246],FRASCINETO,CASELLO,9.0
*/1518  [2246],FRASCINETO,CASELLO,*/1519  [2247],SIBARI,CASELLO,14.0
*/1519  [2247],SIBARI,CASELLO,*/1520  [2248],ALTOMONTE,CASELLO,6.0
*/1520  [2248],ALTOMONTE,CASELLO,*/1521  [2249],TARSIA NORD,CASELLO,6.0
*/1521  [2249],TARSIA NORD,CASELLO,*/1522  [2250],TARSIA,CASELLO,5.0
*/1522  [2250],TARSIA,CASELLO,*/1523  [2251],TORANO,CASELLO,10.0
*/1523  [2251],TORANO,CASELLO,*/1524  [2252],MONTALTO-UFFUGO,CASELLO,11.0
*/1524  [2252],MONTALTO-UFFUGO,CASELLO,*/1525  [2253],RENDE - COSENZA NORD,CASELLO,7.0
*/1525  [2253],RENDE - COSENZA NORD,CASELLO,*/1526  [2254],COSENZA,CASELLO,6.0
*/1526  [2254],COSENZA,CASELLO,*/1527  [2255],ROGLIANO-GRIMALDI,CASELLO,14.0
*/1527  [2255],ROGLIANO-GRIMALDI,CASELLO,*/1528  [2256],ALTILIA,CASELLO,13.0
*/1528  [2256],ALTILIA,CASELLO,*/1529  [2257],SAN MANGO D'ACQUINO,CASELLO,8.0
*/1529  [2257],SAN MANGO D'ACQUINO,CASELLO,*/1530  [2258],FALERNA,CASELLO,10.0
*/1530  [2258],FALERNA,CASELLO,*/1531  [2259],LAMEZIA TERME,CASELLO,16.0
*/1531  [2259],LAMEZIA TERME,CASELLO,*/1532  [2260],PIZZO CALABRO,CASELLO,19.0
*/1532  [2260],PIZZO CALABRO,CASELLO,*/1533  [2261],VIBO VALENTIA-SANT'ONOFRIO,CASELLO,9.0
*/1533  [2261],VIBO VALENTIA-SANT'ONOFRIO,CASELLO,*/1534  [2262],SERRA SAN BRUNO,CASELLO,11.0
*/1534  [2262],SERRA SAN BRUNO,CASELLO,*/1535  [2263],MILETO DINAMI,CASELLO,11.0
*/1535  [2263],MILETO DINAMI,CASELLO,*/1536  [2264],ROSARNO,CASELLO,13.0
*/1536  [2264],ROSARNO,CASELLO,*/1537  [2265],GIOIA TAURO,CASELLO,10.0
*/1537  [2265],GIOIA TAURO,CASELLO,*/1538  [2266],PALMI,CASELLO,8.0
*/1538  [2266],PALMI,CASELLO,*/1539  [2267],SANT'ELIA MELICUCCA,CASELLO,7.0
*/1539  [2267],SANT'ELIA MELICUCCA,CASELLO,*/1540  [2268],BAGNARA CALABRA,CASELLO,4.0
*/1540  [2268],BAGNARA CALABRA,CASELLO,*/1541  [2269],SCILLA,CASELLO,11.0
*/1541  [2269],SCILLA,CASELLO,*/1542  [2270],S. TRADA,CASELLO,4.0
*/1542  [2270],S. TRADA,CASELLO,*/1543  [2271],VILLA SAN GIOVANNI,CASELLO,7.0
*/1543  [2271],VILLA SAN GIOVANNI,CASELLO,*/1544  [2272],CAMPO CALABRO,CASELLO,1.0
*/1544  [2272],CAMPO CALABRO,CASELLO,*/1821  [2589],REGGIO C.-CATONA-ARGHILA',CASELLO,1.2
*/1821  [2589],REGGIO C.-CATONA-ARGHILA',CASELLO,*/1545  [2273],REGGIO CALABRIA - GALLICO,CASELLO,0.8
*/1545  [2273],REGGIO CALABRIA - GALLICO,CASELLO,*/1546  [2274],REGGIO CALABRIA PORTO,CASELLO,4.0
*/1546  [2274],REGGIO CALABRIA PORTO,CASELLO,*/1547  [2275],SS 106,CASELLO,1.5
*/1547  [2275],SS 106,CASELLO,*/1548  [2276],REGGIO CALABRIA,CASELLO,0.4
*/1395  [70256],Napoli Stazione,CASELLO,*/1669  [70257],Napoli Porto,CASELLO,1.9
*/1669  [70257],Napoli Porto,CASELLO,*/1396  [70258],Napoli Via Marina,CASELLO,0.4
*/1396  [70258],Napoli Via Marina,CASELLO,*/1397  [70259],San Giovanni,CASELLO,0.2
*/1397  [70259],San Giovanni,CASELLO,*/3382  [3911],San Giovanni Uscita,CASELLO,0.2
*/3382  [3911],San Giovanni Uscita,CASELLO,*/3383  [3912],VIA GIANTURCO,CASELLO,0.0
*/3383  [3912],VIA GIANTURCO,CASELLO,*/1142  [70260],Bivio A3/A1 Milano-Napoli,ALLACCIAMENTO,0.6
*/1142  [70260],Bivio A3/A1 Milano-Napoli,ALLACCIAMENTO,*/3384  [3913],VIA TAVERNOLA,CASELLO,0.3
*/3384  [3913],VIA TAVERNOLA,CASELLO,6/17  [70253],Ponticelli,CASELLO,1.2
6/17  [70253],Ponticelli,CASELLO,6/1  [70241],Napoli sud,CASELLO,0.11
6/1  [70241],Napoli sud,CASELLO,*/3385  [3914],REPUBBLICHE MARINARE,CASELLO,0.19
*/3385  [3914],REPUBBLICHE MARINARE,CASELLO,*/1399  [70267],San Giorgio-Ponticelli,CASELLO,0.2
*/1399  [70267],San Giorgio-Ponticelli,CASELLO,*/2  [70263],San Giorgio a Cremano,CASELLO,1.02
*/2  [70263],San Giorgio a Cremano,CASELLO,*/1284  [70266],Svincolo Portici Sud,CASELLO,1.87
*/1284  [70266],Svincolo Portici Sud,CASELLO,6/4  [70242],Portici Ercolano,CASELLO,0.43
6/4  [70242],Portici Ercolano,CASELLO,*/51  [70265],Ercolano - Scavi,CASELLO,1.34
*/51  [70265],Ercolano - Scavi,CASELLO,6/5  [70243],Torre del Greco Nord,CASELLO,2.93
6/5  [70243],Torre del Greco Nord,CASELLO,6/15  [70251],Torre Annunziata nord,CASELLO,4.43
6/15  [70251],Torre Annunziata nord,CASELLO,6/6  [70244],Torre Annunziata Scavi,CASELLO,2.34
6/6  [70244],Torre Annunziata Scavi,CASELLO,10516,TORRE ANNUNZIATA OVEST,DISTRIBUTORE,1.65
10516,TORRE ANNUNZIATA OVEST,DISTRIBUTORE,*/27  [70264],Torre Annunziata Sud Boscoreale,CASELLO,0.09
*/27  [70264],Torre Annunziata Sud Boscoreale,CASELLO,6/7  [70245],Pompei Scavi,CASELLO,0.63
6/7  [70245],Pompei Scavi,CASELLO,6/8  [70246],Castellammare di Stabia,CASELLO,0.63
6/8  [70246],Castellammare di Stabia,CASELLO,6/9  [70247],Pompei Centro-Scafati,CASELLO,2.65
6/9  [70247],Pompei Centro-Scafati,CASELLO,6/19  [70255],Diramazione SS 268,CASELLO,3.0
6/19  [70255],Diramazione SS 268,CASELLO,6/10  [70248],Angri,CASELLO,1.64
6/10  [70248],Angri,CASELLO,6/18  [70254],Angri Sud,CASELLO,1.89
6/18  [70254],Angri Sud,CASELLO,6/16  [70252],Nocera Sud,CASELLO,4.61
6/16  [70252],Nocera Sud,CASELLO,6/11  [70249],Nocera Barriera,CASELLO,0.0
6/11  [70249],Nocera Barriera,CASELLO,10148,ALFATERNA OVEST,DISTRIBUTORE,3.56
10148,ALFATERNA OVEST,DISTRIBUTORE,6/12  [70250],Cava de' Tirreni,CASELLO,2.7
6/12  [70250],Cava de' Tirreni,CASELLO,*/1402  [70261],Vietri sul Mare,CASELLO,5.78
*/1402  [70261],Vietri sul Mare,CASELLO,*/1401  [70262],Salerno,ALLACCIAMENTO,3.12
*/1163  [855],Torino Corso Giulio Cesare,CASELLO,*/1143  [4025],ALLAC. A05/TANGENZIALE TORINO,ALLACCIAMENTO,2.2
*/1143  [4025],ALLAC. A05/TANGENZIALE TORINO,ALLACCIAMENTO,*/1706  [3090],SV.SETTIMO T.SE OVEST,CASELLO,0.47
*/1706  [3090],SV.SETTIMO T.SE OVEST,CASELLO,3699,SETTIMO SUD,DISTRIBUTORE,0.53
3699,SETTIMO SUD,DISTRIBUTORE,*/1015  [774],Torino Settimo,CASELLO,0.9
*/1015  [774],Torino Settimo,CASELLO,*/1832  [2626],Volpiano sud,CASELLO,5.3
*/1832  [2626],Volpiano sud,CASELLO,*/1026  [776],Brandizzo,CASELLO,2.3
*/1026  [776],Brandizzo,CASELLO,*/1033  [11],Chivasso ovest,CASELLO,1.8
*/1033  [11],Chivasso ovest,CASELLO,*/1038  [777],Chivasso centro,CASELLO,3.7
*/1038  [777],Chivasso centro,CASELLO,*/1041  [12],Chivasso est,ALLACCIAMENTO,2.9
*/1041  [12],Chivasso est,ALLACCIAMENTO,*/1490  [2217],Rondissone,CASELLO,3.3
*/1490  [2217],Rondissone,CASELLO,10150,SAN ROCCO SUD,DISTRIBUTORE,0.8
10150,SAN ROCCO SUD,DISTRIBUTORE,1/420  [773],Torino Rondissone,CASELLO,0.1
1/420  [773],Torino Rondissone,CASELLO,1/426  [868],Borgo d'Ale,CASELLO,12.5
1/426  [868],Borgo d'Ale,CASELLO,1/976  [541],Nodo A4/Diramazione A26 Trafori,ALLACCIAMENTO,7.0
1/976  [541],Nodo A4/Diramazione A26 Trafori,ALLACCIAMENTO,1/429  [870],Santhia',CASELLO,1.4
1/429  [870],Santhia',CASELLO,1/430  [871],Carisio,CASELLO,9.2
1/430  [871],Carisio,CASELLO,1/432  [872],Balocco,CASELLO,5.6
1/432  [872],Balocco,CASELLO,3718,VILLARBOIT SUD,DISTRIBUTORE,4.2
3718,VILLARBOIT SUD,DISTRIBUTORE,1/433  [854],Greggio,CASELLO,3.3
1/433  [854],Greggio,CASELLO,1/975  [1027],Nodo A4/A26 Trafori,ALLACCIAMENTO,4.9
1/975  [1027],Nodo A4/A26 Trafori,ALLACCIAMENTO,1/434  [874],Biandrate,CASELLO,1.2
1/434  [874],Biandrate,CASELLO,1/436  [875],Novara ovest,CASELLO,9.3
1/436  [875],Novara ovest,CASELLO,10503,NOVARA SUD,DISTRIBUTORE,5.8
10503,NOVARA SUD,DISTRIBUTORE,1/437  [2105],Novara est,ALLACCIAMENTO,1.8
1/437  [2105],Novara est,ALLACCIAMENTO,1/440  [2669],Marcallo Mesero,CASELLO,14.9
1/440  [2669],Marcallo Mesero,CASELLO,1/441  [2670],ARLUNO,CASELLO,5.1
1/441  [2670],ARLUNO,CASELLO,1/442  [791],Rho,CASELLO,7.9
1/442  [791],Rho,CASELLO,10152,RHO SUD,DISTRIBUTORE,0.6
10152,RHO SUD,DISTRIBUTORE,1/962  [1123],Bivio A4/Tangenziale ovest MI,ALLACCIAMENTO,1.8
1/962  [1123],Bivio A4/Tangenziale ovest MI,ALLACCIAMENTO,1/443  [792],Milano Ghisolfa,CASELLO,0.1
1/443  [792],Milano Ghisolfa,CASELLO,*/1283  [760],Ghisolfa Svincolo (Tang. ovest MI),ALLACCIAMENTO,0.1
*/1283  [760],Ghisolfa Svincolo (Tang. ovest MI),ALLACCIAMENTO,*/1801  [2565],Nodo di Pero,ALLACCIAMENTO,1.0
*/1801  [2565],Nodo di Pero,ALLACCIAMENTO,*/1802  [2566],Pero Piazzale Sud Est,CASELLO,0.8
*/1802  [2566],Pero Piazzale Sud Est,CASELLO,*/1045  [794],Nodo di Pero,CASELLO,0.1
*/1045  [794],Nodo di Pero,CASELLO,*/1191  [150],Cambio Competenza A4 TO/MI - T02,CASELLO,2.1
*/1191  [150],Cambio Competenza A4 TO/MI - T02,CASELLO,*/1146  [148],Nodo A4/A8 Milano-Varese,ALLACCIAMENTO,0.5
*/1146  [148],Nodo A4/A8 Milano-Varese,ALLACCIAMENTO,*/1410  [2127],Bivio A4/Raccordo Viale Certosa,ALLACCIAMENTO,0.6
*/1410  [2127],Bivio A4/Raccordo Viale Certosa,ALLACCIAMENTO,*/1022  [142],Cormano,CASELLO,3.7
*/1022  [142],Cormano,CASELLO,10155,LAMBRO SUD,DISTRIBUTORE,3.8
10155,LAMBRO SUD,DISTRIBUTORE,*/1035  [278],Sesto San Giovanni,CASELLO,2.8
